"Product Review Captcha","Product Review Captcha"
"Enable Captcha","Enable Captcha"
"Public Key","Public Key"
"Private Key","Private Key"
"You got this from the signup page: https://www.google.com/recaptcha/admin/create","You got this from the signup page: https://www.google.com/recaptcha/admin/create"
"The reCAPTCHA wasn't entered correctly.","The reCAPTCHA wasn't entered correctly."
